memory_growth,logical_devices,core_freq,gpu_freq,emc_freq,num_cores,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads,inference_time,method,num_samples
0.9,0,2035200,1211250000,40800000,2,0,100,0,80,0,1,50,0,1,0,500000,60,30,50,4,65536,96000000,32,100,2000,2169,18039,339505957,30027471,38550315,928,204817,1001,20235,22975,17767685012,1130,189,20518858682,60121,70398,80625,5662153634,475170283,2195824287,2583691887,1519780035,77.5424479171823,Unicorn +25,21
0.9,0,2035200,1211250000,40800000,2,0,10,0,80,3,1,50,0,1,0,500000,60,30,50,4,65536,96000000,32,100,2000,3604,41645,960492357,86954358,81078569,1823,479962,2294,44172,47957,46119753261,1844,610,50564316701,117611,138445,130440,10454808208,810404755,5517068419,4272839518,3093678542,87.3783614103925,Unicorn (Rerun),32
