,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_freq,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,cpu_utilization,cycles,instructions,cpu_utilization,context-switches,migrations,cache-references,cache-misses,major-faults,minor-faults,branch-loads,branch-load-misses,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,ext4:ext4_mark_inode_dirty,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_migrate_task,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,46.18116176128925,934904.0,59023.75,263071.75,41152.22002095,41708.63080365001,43423.225887075,0.0,0.0,100.0,5.0,53702700080.5,14246483761.0,5.0,46326.75,7451.75,6706458566.0,876729024.5,186.5,563590.0,3750962082.25,125950027.5,125960813.5,6714607213.25,877419109.0,6685694337.0,26836.75,26836.75,40996.0,40996.0,41755.0,11.25,194128.75,191697.25,9060.0,6802.5,2432.5,2431.5,614.0,2423.0,39171307192.0,26692442728.0,57337029480.0,2496102033136.0,10695983192.0,65983.5,4863.0,67863.0
1,1.0,1.0,0.0,0.0,345600.0,408000000.0,204000000.0,2.10058673223,34376.0,2511.3333333333335,9349.0,40657.21153846667,41293.9102564,42462.5,1.0,0.0,500.0,5.0,8100479920.333333,1929787602.6666667,5.0,2891.0,360.0,1047595024.3333334,62489321.33333334,0.0,45353.33333333334,434299894.3333333,24958792.66666667,24946695.66666667,1027229272.6666666,62434801.66666666,994739748.0,2367.6666666666665,2367.6666666666665,4527.0,4527.0,4597.333333333333,12.0,30153.66666666667,30011.66666666667,286.3333333333333,399.0,143.0,142.0,57.66666666666666,131.0,1511528426.6666667,0.0,7147151776.0,160013734080.0,2257756928.0,3708.0,284.0,4712.333333333333
2,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.4287029107413333,11586.666666666664,1421.666666666667,4444.333333333333,41500.0,42083.333333333336,43500.0,1.0,0.0,100.0,5.0,5746614166.666667,1445114725.0,5.0,1048.3333333333333,131.66666666666666,699925615.0,27545083.33333333,0.0,22804.66666666667,301184514.0,18031175.0,17818742.333333332,679164665.3333334,27250448.33333333,665429134.0,1190.6666666666667,1190.6666666666667,2279.3333333333335,2279.3333333333335,2306.0,11.666666666666664,22429.0,22390.66666666667,100.33333333333331,150.33333333333334,39.333333333333336,38.333333333333336,12.0,33.0,300920960.0,1561792.0,3364569184.0,43226303029.333336,436556352.0,1418.666666666667,76.66666666666667,1673.333333333333
3,1.0,1.0,0.0,0.0,345600.0,408000000.0,204000000.0,1.7679459253933334,31567.66666666667,2358.6666666666665,8941.333333333334,40579.166666666664,41176.3888889,42300.0,0.0,100.0,100.0,5.0,7841823803.666667,1905687682.0,5.0,2777.666666666666,321.0,1031882689.3333334,59279246.66666666,0.0,43747.666666666664,435859623.6666667,23631933.33333333,23488594.66666667,1004900335.0,58581336.33333334,964160057.6666666,2234.0,2234.0,4320.0,4320.0,4389.0,11.666666666666664,29527.66666666667,29393.66666666667,229.0,345.0,135.0,134.0,45.66666666666666,123.0,982480032.0,272320.0,6754315445.333333,226070764224.0,2004192576.0,3532.666666666666,268.0,4449.666666666667
4,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.0378882884966665,24689.66666666667,2766.333333333334,9322.0,41438.8888889,41916.666666666664,43566.666666666664,0.0,0.0,500.0,5.0,7304822958.666667,1642095339.6666667,5.0,1546.0,227.66666666666663,788931745.0,42718453.333333336,0.0,32460.33333333333,336457135.6666667,19232547.0,19306777.333333332,767270100.6666666,41307355.666666664,735774282.0,1437.0,1437.0,3049.666666666666,3049.666666666666,3094.666666666666,11.666666666666664,25472.66666666667,25388.66666666667,111.0,258.3333333333333,85.0,84.0,21.0,73.0,566802197.3333334,355072.0,4470870656.0,96164388640.0,431823882.6666667,2131.0,168.0,2499.0
5,1.0,1.0,0.0,0.0,345600.0,408000000.0,204000000.0,1.8086673418700001,33385.0,2460.0,9730.0,40434.02777776666,41048.6111111,42180.55555556667,1.0,100.0,100.0,5.0,8078711982.666667,1881206997.0,5.0,2654.6666666666665,325.3333333333333,1023254959.0,58648871.66666666,0.0,43700.0,425334503.0,24790324.0,24872238.33333333,1009703804.6666666,59070643.66666666,969529803.6666666,2124.0,2124.0,4289.333333333333,4289.333333333333,4355.333333333333,12.0,29510.0,29374.66666666667,216.33333333333337,346.0,136.33333333333334,135.33333333333334,54.33333333333334,125.0,1253456021.3333333,222037.33333333337,6653105130.666667,166033223029.33334,2021731978.6666667,3662.333333333334,270.6666666666667,4282.0
6,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.0442006588,24792.0,2716.0,9270.666666666666,41394.44444443333,41972.22222223334,43472.22222223334,1.0,0.0,500.0,5.0,7331961394.333333,1687164890.0,5.0,1839.0,240.33333333333337,812628512.0,43915336.0,0.0,32438.0,349898876.0,19651635.333333332,19456419.0,783490534.0,41854209.0,738667628.3333334,1479.666666666667,1479.666666666667,3058.666666666666,3058.666666666666,3106.0,11.333333333333336,25695.33333333333,25611.33333333333,120.33333333333331,266.6666666666667,85.0,84.0,21.333333333333332,73.0,484018165.3333333,564938.6666666665,4519620224.0,82020578432.0,507282922.6666667,2554.6666666666665,168.0,2732.6666666666665
7,1.0,1.0,0.0,0.0,345600.0,408000000.0,204000000.0,2.5197037061033334,38860.0,2637.3333333333335,10286.0,40380.09259260001,41079.62962963333,42080.55555556667,0.0,100.0,500.0,5.0,8969529353.0,2000586660.3333333,5.0,3218.666666666666,374.66666666666674,1102428815.3333333,64913671.66666666,7.0,46898.33333333334,454360392.3333333,26420891.66666667,26508007.66666667,1079836776.3333333,63531536.33333334,1040405687.0,2528.6666666666665,2528.6666666666665,4922.666666666667,4922.666666666667,4991.0,11.333333333333336,30467.33333333333,30323.33333333333,263.0,422.66666666666674,145.0,144.0,56.0,133.0,1702401322.6666667,140849440.0,7594313824.0,250253629792.0,2609914496.0,4767.0,288.0,5087.666666666667
8,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.036697626113667,24319.33333333333,2842.666666666666,9117.333333333334,41394.44444443333,41822.22222223334,43566.666666666664,0.0,100.0,100.0,5.0,7740716482.333333,1695555053.6666667,5.0,1802.666666666667,246.66666666666663,821052997.3333334,42725222.0,3.3333333333333335,32084.0,355037030.3333333,19872944.333333332,19918764.333333332,801726615.0,42037317.0,767428243.3333334,1541.666666666667,1541.666666666667,3137.666666666666,3137.666666666666,3180.333333333334,11.333333333333336,25461.66666666667,25379.66666666667,114.66666666666669,288.6666666666667,83.0,82.0,26.33333333333333,71.0,453064192.0,27701258.66666667,4661655594.666667,82632304160.0,578495264.0,2488.3333333333335,164.0,2751.333333333334
9,1.0,1.0,0.0,0.0,345600.0,408000000.0,204000000.0,2.8628759384133335,42368.0,2916.666666666666,12854.666666666664,40333.1908832,41031.33903136667,42064.672364699996,1.0,100.0,500.0,5.0,9137285179.333334,2003100116.3333333,5.0,3089.666666666666,392.33333333333326,1113689469.3333333,67506441.66666667,0.6666666666666666,48455.33333333334,448028405.0,26763458.66666667,26657312.33333333,1089826763.3333333,64787098.0,1039079886.6666666,2396.0,2396.0,4808.0,4808.0,4880.0,11.0,31117.66666666667,30963.66666666667,258.3333333333333,450.0,155.0,154.0,59.33333333333334,143.0,1424973333.3333333,2445632.0,7459506453.333333,200050425333.33334,3306112128.0,4111.333333333333,308.0,4842.333333333333
10,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.05047996839,26819.33333333333,2815.666666666666,11173.666666666664,41416.666666666664,41986.1111111,43722.22222223334,1.0,100.0,100.0,5.0,8035401939.666667,1629112118.0,5.0,1975.666666666667,270.3333333333333,810497551.3333334,41793789.0,1.6666666666666667,31534.0,345248092.3333333,20806584.666666668,20662516.333333332,800667088.0,42271631.0,766037500.0,1609.666666666667,1609.666666666667,3109.333333333334,3109.333333333334,3156.333333333334,11.333333333333336,25442.33333333333,25361.66666666667,116.66666666666669,289.0,81.66666666666667,80.66666666666667,26.0,71.0,348262570.6666667,5474090.666666667,4666126058.666667,96893293568.0,857683925.3333334,2578.6666666666665,161.33333333333334,2650.3333333333335
11,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,3.5642484029133334,39102.333333333336,2509.6666666666665,12981.333333333336,40252.31481483334,40888.88888886666,42013.8888889,0.0,0.0,100.0,5.0,18398034133.333332,2144256721.3333333,5.0,3569.0,451.33333333333326,1147127081.0,69649047.0,0.6666666666666666,48236.33333333334,460599562.3333333,33027786.33333333,33550941.66666667,1113631403.6666667,66091733.0,1051992943.3333334,3900.0,3900.0,6936.666666666668,6936.666666666668,7007.333333333332,12.0,31319.66666666667,31167.66666666667,280.0,572.6666666666666,153.0,152.0,61.33333333333334,141.0,2511893685.3333335,6394656.0,12052801962.666666,280780428426.6667,5342314538.666667,4591.666666666667,304.0,5705.0
12,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.01561331749,26149.0,2587.6666666666665,10565.666666666666,41566.666666666664,41933.333333333336,43766.666666666664,0.0,100.0,500.0,5.0,8099702063.333333,1714541156.6666667,5.0,2400.0,264.0,857153718.6666666,45967032.0,5.0,32294.0,366137180.6666667,20698340.333333332,20686107.0,840082893.3333334,45024894.333333336,815529179.6666666,1905.0,1905.0,3281.333333333334,3281.333333333334,3325.333333333334,11.666666666666664,25351.0,25269.66666666667,170.0,313.0,82.33333333333333,81.33333333333333,25.0,71.0,946360448.0,234615872.0,4849423797.333333,104285768469.33333,1001406421.3333334,3164.0,162.66666666666666,3490.0
