,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_freq,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,cpu_utilization,cycles,instructions,cpu_utilization,context-switches,migrations,cache-references,cache-misses,major-faults,minor-faults,branch-loads,branch-load-misses,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,ext4:ext4_mark_inode_dirty,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_migrate_task,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,5.9019035696955005,164966.25,18915.0,69967.25,39580.5785124,40490.358126725,41790.28925620001,0.0,0.0,100.0,80.75,24613012176.75,3317311608.5,80.75,6888.75,1193.0,1587531431.0,150096059.75,0.25,105763.5,808504664.5,41250628.25,41518211.25,1561589279.5,153642233.5,1538667154.75,4584.75,4584.75,9400.5,9400.5,9598.25,12.0,49193.5,48792.5,338.25,1160.0,402.0,401.0,161.25,393.5,2501194504.0,2739696.0,13450825128.0,467141734600.0,2990958728.0,9337.25,802.0,10190.5
1,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.39782770474766666,12386.0,1573.333333333333,4496.0,39333.333333333336,40416.666666666664,41583.333333333336,1.0,0.0,100.0,87.0,5596580311.333333,1463490996.6666667,87.0,860.6666666666665,113.66666666666669,682517964.3333334,27095422.0,0.0,23401.66666666667,284061543.6666667,17038402.666666668,17105388.666666668,662482105.3333334,26261334.33333333,629737774.0,1012.6666666666665,1012.6666666666665,2161.3333333333335,2161.3333333333335,2187.6666666666665,11.666666666666664,22530.33333333333,22489.33333333333,61.66666666666666,134.0,42.0,41.0,10.0,35.0,260079413.33333337,1351274.666666667,3273947722.6666665,32637411200.0,261912490.66666663,1179.3333333333333,82.0,1475.666666666667
2,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.4013839562733333,10964.333333333334,1396.0,4089.333333333334,39479.166666666664,40375.0,41541.666666666664,0.0,0.0,500.0,81.0,5660132949.0,1478278882.3333333,81.0,950.6666666666665,112.0,692678660.3333334,28004730.33333333,0.0,23632.0,285710240.6666667,16753525.666666664,16609367.333333336,674983759.3333334,26595786.66666667,639002998.0,1070.0,1070.0,2261.6666666666665,2261.6666666666665,2293.3333333333335,11.666666666666664,22694.66666666667,22651.66666666667,59.66666666666666,133.66666666666666,44.0,43.0,13.666666666666664,37.0,159176650.66666666,640000.0,3372819381.3333335,32141953077.333332,262880085.33333337,1269.6666666666667,86.0,1564.333333333333
3,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.38900494575533334,9427.333333333334,1270.0,3530.666666666666,39583.333333333336,40500.0,41916.666666666664,1.0,0.0,500.0,90.0,5760088517.0,1467420347.0,90.0,838.6666666666665,112.33333333333331,698318224.0,27631086.0,0.0,23912.33333333333,290832720.3333333,18460262.0,18651269.0,680002751.0,27397798.66666667,655349727.6666666,1027.6666666666667,1027.6666666666667,2211.3333333333335,2211.3333333333335,2244.0,97.0,23371.0,23331.33333333333,63.0,126.33333333333331,41.333333333333336,40.333333333333336,11.666666666666664,35.0,145670218.66666666,733002.6666666665,3381406709.3333335,101085668117.33333,284717077.3333333,1136.0,80.66666666666667,1444.666666666667
4,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.38720138867700005,12173.0,1573.666666666667,4445.333333333333,39500.0,40305.55555556667,41541.666666666664,0.0,100.0,100.0,77.0,6235395820.0,1581505791.6666667,77.0,1076.0,145.33333333333334,738845316.3333334,32910068.33333333,0.0,28047.33333333333,331283171.6666667,18622397.0,18602455.333333332,718518306.3333334,31976948.33333333,691358561.3333334,1184.0,1184.0,2432.3333333333335,2432.3333333333335,2463.0,141.33333333333334,24790.0,24737.33333333333,95.33333333333331,169.33333333333334,54.66666666666666,53.66666666666666,14.333333333333336,47.0,591958314.6666666,0.0,3784954912.0,51240067968.0,271551562.6666667,1572.666666666667,107.33333333333331,1882.333333333333
5,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.4800942738853333,12245.666666666664,1446.333333333333,5307.333333333333,39777.77777776666,40388.88888886666,42111.11111113334,1.0,100.0,100.0,68.0,7176280695.0,1507086483.6666667,68.0,1467.666666666667,146.33333333333334,757379776.0,31647129.66666667,2.3333333333333335,26880.0,327261047.6666667,22415997.333333332,22316488.666666668,763682350.6666666,30084906.0,733652838.6666666,1726.333333333333,1726.333333333333,2632.3333333333335,2632.3333333333335,2664.3333333333335,141.66666666666666,24412.66666666667,24365.33333333333,83.66666666666667,154.66666666666666,49.33333333333334,48.33333333333334,18.666666666666668,43.0,379399061.3333333,11154709.333333334,4150389109.3333335,36369532800.0,959658805.3333334,1771.333333333333,96.66666666666669,2046.666666666667
6,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.4962933858233334,11586.666666666664,1548.666666666667,4596.333333333333,39750.0,40694.44444443333,42055.55555556667,0.0,100.0,500.0,91.0,6872184643.0,1543371412.6666667,91.0,1443.333333333333,128.66666666666666,749669218.3333334,33037865.33333333,0.0,26704.66666666667,319023945.3333333,19625977.666666668,19698086.0,738209201.3333334,31299074.66666667,701073888.0,1471.666666666667,1471.666666666667,2540.3333333333335,2540.3333333333335,2571.3333333333335,141.0,24538.33333333333,24490.0,69.0,162.0,50.33333333333334,49.33333333333334,15.0,43.0,345944405.3333333,1165952.0,3999662965.3333335,54016861813.333336,534334378.6666667,1676.0,98.66666666666669,1973.666666666667
7,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,0.39175367355333335,11066.666666666664,1447.0,4064.0,39833.333333333336,40750.0,42000.0,1.0,100.0,500.0,76.0,6156148725.0,1499459013.6666667,76.0,952.6666666666665,119.66666666666669,720192566.0,30069452.33333333,0.0,25775.0,309979191.0,19947497.666666668,20215030.666666668,703712222.0,29474652.0,676943830.3333334,1162.3333333333333,1162.3333333333333,2442.3333333333335,2442.3333333333335,2473.0,139.33333333333334,24130.66666666667,24087.66666666667,85.33333333333333,149.33333333333334,45.0,44.0,14.0,39.0,377779168.0,0.0,3677954325.3333335,47606457653.333336,356258709.3333333,1253.3333333333333,88.0,1604.666666666667
8,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.1608281930286667,11074.333333333336,1319.3333333333333,3985.333333333334,39916.666666666664,41416.666666666664,42250.0,0.0,0.0,100.0,74.0,3078302549.6666665,1427542660.6666667,74.0,1006.3333333333335,84.0,643580133.6666666,26584738.0,0.0,24268.33333333333,290069767.6666667,17496590.0,17569754.0,641903697.6666666,25783699.66666667,623349646.3333334,1036.0,1036.0,1355.3333333333333,1355.3333333333333,1387.0,138.33333333333334,23504.0,23467.33333333333,69.0,74.0,38.666666666666664,37.666666666666664,9.333333333333334,33.0,101997184.0,4403733.333333333,1890396341.3333333,21887702048.0,197370026.66666663,1365.6666666666667,75.33333333333333,1540.333333333333
9,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.15868298212700002,11277.666666666664,1268.6666666666667,4340.333333333333,40125.0,41500.0,42333.333333333336,1.0,0.0,100.0,77.0,3089790292.6666665,1441055890.3333333,77.0,793.6666666666665,94.33333333333331,642224952.0,26267350.0,0.0,24591.66666666667,301115329.3333333,17809705.0,17653242.0,620131507.6666666,24953222.66666667,613084755.0,661.6666666666666,661.6666666666666,1414.333333333333,1414.333333333333,1448.666666666667,137.66666666666666,23599.0,23560.0,47.66666666666666,100.33333333333331,41.0,40.0,11.0,35.0,59924661.33333334,0.0,1827493504.0,18339197141.333332,163695605.33333334,957.0,80.0,1104.0
